,reward,ma_reward,avg_q,avg_loss
0,0.123682156,0.123682156,0.0043430813,0.009139493107795715
1,0.10165226,0.12147917,0.04190707,0.0030269762894022277
2,0.1073171,0.12006296,0.041976407,0.00021703094293570757
3,0.114555486,0.119512215,0.047648553,1.7251365242145767e-05
4,0.114555486,0.11901654,0.045999717,7.368222356376464e-06
5,0.10731709,0.1178466,0.044288438,8.518680290876546e-06
6,0.078048795,0.11386681,0.042723097,4.44127983485032e-06
7,0.091266744,0.11160681,0.03944188,4.2746698059659136e-06
8,0.105743535,0.111020476,0.034414057,2.6713510379750007e-06
9,0.07993707,0.10791213,0.031154107,3.118206877843477e-06
10,0.10291111,0.107412025,0.030390607,4.590738913918813e-06
11,0.09944927,0.10661575,0.02847567,1.974340469246272e-06
12,0.12997644,0.108951814,0.027765969,1.2341227193246596e-06
13,0.10700239,0.10875687,0.025158482,2.4261165995653756e-06
14,0.10039341,0.10792053,0.023759423,1.0492796781136348e-06
15,0.13312356,0.11044083,0.022885827,1.1481042767513827e-06
16,0.08276949,0.10767369,0.022117244,1.1498503073426037e-06
17,0.09693157,0.10659948,0.02068341,1.01267715024278e-06
18,0.11770263,0.107709795,0.018573575,1.0920077184550792e-06
19,0.13595597,0.11053441,0.017554887,1.073678731131622e-06
20,0.09346973,0.10882793,0.016734295,9.397942378086554e-07
21,0.12777342,0.11072248,0.0155541785,1.1099171976525213e-06
22,0.18442175,0.11809241,0.014394329,8.468924697524471e-07
23,0.15074746,0.12135791,0.0130352825,7.389385034173301e-07
24,0.106058255,0.11982794,0.012057659,9.912322261129702e-07
25,0.107002385,0.11854538,0.01156166,8.156214379084759e-07
26,0.088434316,0.11553427,0.010648025,7.746029169197755e-07
27,0.13532655,0.11751349,0.009550413,7.532172016055938e-07
28,0.16868612,0.12263075,0.008856464,7.184715772723393e-07
29,0.16396542,0.12676422,0.008514581,7.24470709627667e-07
30,0.13123529,0.12721133,0.0082368925,7.620260529961343e-07
31,0.21211648,0.13570185,0.007746811,6.312426404520011e-07
32,0.12399688,0.13453135,0.007109911,7.030075457237217e-07
33,0.14980334,0.13605854,0.0069701797,6.884948885499398e-07
34,0.09126675,0.13157935,0.006398597,6.698661557891228e-07
35,0.13217942,0.13163936,0.0060982676,6.527914351295294e-07
36,0.15735646,0.13421106,0.0057159434,6.116014871793141e-07
37,0.1762392,0.13841388,0.005413825,6.811617117818969e-07
38,0.17088911,0.14166139,0.005136761,7.435394340404855e-07
39,0.11864676,0.13935992,0.0047164154,6.157163936393317e-07
40,0.13532655,0.13895658,0.004664876,5.766988487465597e-07
41,0.17844221,0.14290513,0.004476409,5.756806785939261e-07
42,0.10794652,0.13940927,0.0043289927,6.261636949744798e-07
43,0.12745872,0.13821422,0.00416247,6.119831544992849e-07
44,0.14980334,0.13937312,0.0041220477,5.964661364998847e-07
45,0.11140837,0.13657665,0.0037966175,6.058395520369686e-07
46,0.17970106,0.1408891,0.0037701717,5.707249388819946e-07
47,0.23320225,0.1501204,0.0036012672,5.505932550420311e-07
48,0.11140837,0.1462492,0.0035976472,5.599585219329128e-07
49,0.2243903,0.15406331,0.003438642,5.62010395057655e-07
50,0.1365854,0.15231551,0.0034427645,6.526178741239618e-07
51,0.28733286,0.16581725,0.0032262187,6.0140655918417e-07
52,0.17372152,0.16660766,0.003185693,6.738416112739287e-07
53,0.112352505,0.16118215,0.0030120239,6.382501028667775e-07
54,0.3367428,0.17873822,0.0028833456,6.274130262795552e-07
55,0.3298191,0.19384632,0.0028388365,6.547776769139091e-07
56,0.16711254,0.19117293,0.0027333356,6.431809046603121e-07
57,0.29425654,0.20148128,0.0026829904,7.043355437019727e-07
58,0.14162081,0.19549523,0.0025178995,7.438422588279536e-07
59,0.24295834,0.20024154,0.0024450922,6.80139160778026e-07
60,0.13029113,0.19324648,0.002577933,6.664901825104152e-07
61,0.15546818,0.18946864,0.0022773114,7.649937588638523e-07
62,0.24232893,0.19475466,0.002293237,8.185959234197071e-07
63,0.12714401,0.18799359,0.0022265606,6.216619730992079e-07
64,0.163336,0.18552782,0.0021404275,7.362669107635611e-07
65,0.33265153,0.2002402,0.0023583078,7.031787836098147e-07
66,0.20298983,0.20051515,0.002532269,7.406660922981701e-07
67,0.14854449,0.19531807,0.00262883,7.130014768108595e-07
68,0.17781277,0.19356753,0.0025708121,7.424733075822587e-07
