,reward,ma_reward,avg_q,avg_loss
0,3123.2012,3123.2012,0.06985602,17.43779754638672
1,4022.3604,3213.117,0.21873833,16.53108322620392
2,3516.228,3243.428,0.45019484,16.81761028289795
3,3705.2263,3289.608,0.6828505,16.330421838760376
4,3576.2048,3318.2676,0.87704104,16.74646462917328
5,3912.211,3377.6619,1.0024621,16.70781366825104
6,3901.273,3430.0227,1.241753,16.633124532699586
7,3763.2295,3463.3433,1.441535,16.642647204399108
8,3212.2078,3438.2295,1.583448,18.013881845474245
9,3380.2188,3432.4285,1.5984812,17.833212842941283
10,3417.1584,3430.9014,1.7601315,17.286953740119934
11,3004.1973,3388.2307,1.858688,18.18713680267334
12,3666.2644,3416.034,1.9672488,17.814860892295837
13,3473.218,3421.7522,2.077232,17.79463923931122
14,3608.2422,3440.4011,1.9633038,17.34223198413849
15,3141.2275,3410.4836,2.0993931,16.970002222061158
16,3355.178,3404.9531,2.1399674,18.557118713855743
17,3073.217,3371.7795,2.2358263,18.2501673412323
18,3331.1729,3367.7188,2.3084638,18.29356653690338
19,3712.3105,3402.1777,2.487937,17.554610562324523
20,4016.249,3463.585,2.4989958,18.429753484725953
21,2747.218,3391.9482,2.4331367,16.803385639190672
22,3797.2205,3432.4756,2.489509,17.47411877155304
23,4520.366,3541.2646,2.6578765,18.07353955745697
24,3449.1726,3532.0554,2.6621792,17.37376528739929
25,4279.34,3606.784,2.6553578,17.16624119758606
26,3386.257,3584.7312,2.6749315,18.41728165626526
27,4449.4653,3671.2046,2.7076356,19.390516352653503
28,4096.353,3713.7192,2.6961374,19.148968052864074
29,4020.3086,3744.378,2.625163,17.735961818695067
30,4382.427,3808.1826,2.736158,18.741247844696044
31,4597.319,3887.0962,2.887908,18.468615703582763
32,4870.45,3985.4314,2.9325566,18.27772590637207
33,3972.4111,3984.1294,2.9173048,18.320640966892242
34,4604.341,4046.1504,2.9436646,17.985126032829285
35,4803.4194,4121.877,3.0933027,18.760691509246826
36,4838.456,4193.5347,3.1684375,18.707912182807924
37,4705.451,4244.726,3.2886147,17.664572467803954
38,4342.2915,4254.4824,3.2615738,17.73937322616577
39,5079.607,4336.995,3.1799474,18.618132667541502
40,4504.3315,4353.7285,3.1927772,18.099068698883055
41,4693.4014,4387.696,3.2201543,18.721462664604186
42,4078.3645,4356.7627,3.3427343,18.6780202627182
43,4717.4893,4392.8354,3.3273506,17.69492820262909
44,4696.4355,4423.1953,3.324771,18.148086500167846
45,4637.2974,4444.6055,3.312655,17.249950733184814
46,4108.369,4410.9814,3.3478818,17.767788028717042
47,4692.4956,4439.133,3.5448604,18.33261850595474
48,4810.417,4476.261,3.4898345,19.0897385597229
49,4497.4106,4478.376,3.6192892,18.013485026359557
50,4894.412,4519.9795,3.6664133,19.50628845691681
51,4355.3447,4503.516,3.785577,18.204300737380983
52,4314.388,4484.603,3.9399014,18.01621398448944
53,3756.308,4411.7734,4.023985,17.079976048469543
54,5109.3374,4481.53,4.202351,18.36929542064667
55,4525.3594,4485.9126,4.2248383,18.07735200881958
56,5889.647,4626.286,4.2592683,18.01304362297058
57,5559.583,4719.6157,4.210227,19.233126015663146
58,4892.327,4736.8867,4.395382,18.19109332561493
59,4580.3906,4721.237,4.3722615,19.334174790382384
60,4943.3774,4743.4507,4.398605,17.45324053764343
61,5188.522,4787.9575,4.474778,18.111734919548034
62,5163.5024,4825.5117,4.606412,17.368572549819945
63,4792.3687,4822.1973,4.5399213,18.571609802246094
64,4962.3525,4836.213,4.672656,18.132276644706725
65,4779.302,4830.5215,4.6558175,17.938834400177
66,4540.3223,4801.5015,4.788989,17.142942032814027
67,4860.354,4807.3867,5.0281825,19.23970754146576
68,5375.481,4864.1963,5.1091084,18.026413173675536
69,5116.474,4889.424,4.9726386,17.092690501213074
70,5352.441,4935.7256,5.082119,17.289477105140687
71,5265.4116,4968.694,5.1135383,17.724348139762878
72,4410.373,4912.8613,5.111367,18.252740998268127
73,4450.3,4866.605,4.9536524,16.32112901687622
74,4863.377,4866.282,4.9460487,17.632334213256836
75,4984.3794,4878.092,5.1146502,16.93534984588623
76,4935.378,4883.8203,4.8233147,16.275013089179993
77,4664.3374,4861.8716,5.019724,16.085447793006896
78,5160.364,4891.7207,5.1005282,17.95533029079437
79,5160.416,4918.59,5.4183674,17.158297610282897
80,5339.4272,4960.674,5.3979425,16.16570900917053
81,4656.299,4930.2363,5.5765553,17.40924960613251
82,4679.3555,4905.148,5.6894608,16.708496561050413
83,5013.353,4915.9683,5.6907997,16.57484300136566
84,4966.3643,4921.0073,5.652806,17.866684336662292
85,4721.4004,4901.0464,5.8272934,17.581894989013673
86,5332.3945,4944.1807,6.10295,16.819408078193664
87,4387.372,4888.5,6.096116,16.944287247657776
88,4181.2593,4817.776,6.375218,17.90117931842804
89,5080.538,4844.052,6.336229,16.69818675041199
90,4447.383,4804.385,6.306102,16.785784516334534
91,5056.4297,4829.5894,6.411609,16.348939218521117
92,5835.5225,4930.1826,6.1432443,17.196995511054993
93,4702.3604,4907.4,6.1421075,16.27571045398712
94,4420.2754,4858.687,6.4038453,17.825534873008728
95,4393.2593,4812.1445,6.298967,18.329993739128113
96,4144.227,4745.353,6.281114,16.334462175369264
97,4559.422,4726.76,5.9885235,16.748660717010498
98,5379.4453,4792.028,5.973055,16.799906578063965
99,5196.457,4832.47,5.980513,16.512794923782348
100,4912.35,4840.458,6.229259,15.836284155845641
101,5310.3525,4887.4473,6.111043,16.625089826583864
102,4165.242,4815.227,6.126299,16.120686593055726
103,5049.4478,4838.649,6.1220403,16.537076301574707
104,4703.322,4825.1157,6.2518873,16.401699557304383
105,4997.365,4842.3403,6.078385,16.444460253715516
106,5066.509,4864.757,5.9426465,17.8887614440918
107,4896.298,4867.911,5.761313,17.034912819862367
108,4122.2524,4793.345,5.6275516,17.050258455276488
109,5005.439,4814.5547,5.6922765,16.506062121391295
110,4326.371,4765.7363,5.5429406,16.142827806472777
111,4628.3335,4751.996,5.62395,16.163402004241945
112,5292.4146,4806.038,5.346291,15.938078360557556
113,4907.4062,4816.175,5.284212,16.888008875846864
114,4927.3955,4827.297,5.4850674,16.77352557182312
115,5459.506,4890.5176,5.519674,15.913896141052247
116,4981.438,4899.6094,5.483044,16.73261706829071
117,4753.2896,4884.9775,5.2988844,16.162364745140074
118,5274.3643,4923.916,5.215748,16.04205180644989
119,5955.6655,5027.091,5.2453,16.144814412593842
120,5487.51,5073.133,5.1443768,15.454199123382569
121,5410.504,5106.8696,5.1225705,15.751874208450317
122,5130.4395,5109.2266,5.2013836,15.724581825733186
123,5141.394,5112.4434,4.8943615,15.715088701248169
124,5442.5854,5145.457,4.729087,16.296110215187074
125,5441.4565,5175.0566,4.661159,16.535820140838624
126,5292.412,5186.792,4.7403555,15.757483530044556
127,5558.559,5223.9688,4.82079,16.067962427139282
128,4935.468,5195.1187,4.8488173,16.182884397506715
129,4069.243,5082.531,4.675904,15.537253866195678
130,4987.393,5073.0166,4.5953326,15.965694818496704
131,5616.5693,5127.3716,4.6210537,15.969793248176575
132,5471.5083,5161.785,4.5923543,16.773067588806153
133,5535.649,5199.1714,4.6359005,16.15203790187836
134,5330.523,5212.306,4.653177,15.269707474708557
135,5667.573,5257.8325,4.733279,16.800367288589477
136,5585.564,5290.6055,4.646412,16.091054916381836
137,5598.5728,5321.4023,4.6973143,16.656901054382324
138,5792.6064,5368.523,4.775348,16.492763833999632
139,5258.489,5357.5195,4.714405,16.259194555282594
140,5280.4023,5349.8076,4.5532336,14.491667308807372
141,5691.571,5383.984,4.611427,15.323360357284546
142,5199.47,5365.532,4.3774443,14.987456035614013
143,5304.411,5359.42,4.3515935,15.409066610336303
144,5796.559,5403.134,4.4595146,14.250321612358093
145,5330.526,5395.873,4.4380455,15.972831163406372
146,5125.466,5368.832,4.478359,16.30491202354431
147,5523.539,5384.3027,4.410734,16.392224264144897
148,5746.651,5420.5376,4.4439726,15.094711236953735
149,5470.5854,5425.5425,4.33216,15.067726330757141
150,4910.3555,5374.024,4.3186464,15.895351033210755
151,5780.5864,5414.68,4.285307,15.156180696487427
152,5719.689,5445.1807,4.351167,15.464275164604187
153,5433.4736,5444.01,4.6143646,15.425519728660584
154,5831.6484,5482.774,4.445703,16.039430961608886
155,4962.498,5430.7466,4.6830654,15.709884457588196
156,5768.509,5464.523,4.686967,15.951702899932862
157,5912.669,5509.3374,4.7467403,15.268970551490783
158,5224.507,5480.854,4.652618,15.26585913658142
159,5656.4746,5498.416,4.36657,16.26230155467987
160,5385.456,5487.1196,4.177575,15.88944968700409
161,5699.576,5508.365,4.5759015,15.660942101478577
162,5846.604,5542.1895,4.548464,14.976418719291686
163,5522.543,5540.2246,4.5753694,16.314831037521362
164,5630.5747,5549.26,4.747969,15.003409595489503
165,5569.5015,5551.2837,4.5041847,15.320212731361389
166,5766.5137,5572.8066,4.6892242,14.55139853000641
167,5481.5386,5563.6797,4.7809134,16.61288224697113
168,5223.506,5529.662,4.8205557,15.00655242919922
169,5732.547,5549.9507,4.884671,14.88434767961502
170,5710.69,5566.0244,4.679143,14.517652773857117
171,5764.567,5585.8784,4.783779,15.316155605316162
172,5724.455,5599.736,4.838668,14.230299220085143
173,5696.642,5609.4263,5.0044694,15.735114402770996
174,5764.4775,5624.931,5.0790324,15.18135193824768
175,5703.473,5632.785,5.1337695,15.116111249923707
176,5821.5737,5651.6636,5.191592,14.753358325958253
177,5540.431,5640.54,5.149723,15.723900651931762
178,4557.3516,5532.221,5.1337547,14.447898511886597
179,5801.533,5559.1523,5.17772,15.90916923046112
180,5412.512,5544.4883,5.1317863,13.873829228878021
181,5700.607,5560.1,4.771025,14.24009192943573
182,6076.6196,5611.752,4.6506557,15.14696831703186
183,5787.534,5629.33,4.5894656,15.403365445137023
184,5747.554,5641.1523,4.610343,15.233861680030822
185,5644.5366,5641.4907,4.5214624,14.458834869861603
186,6076.619,5685.0034,4.5327783,15.128403015136719
187,5866.571,5703.16,4.3683543,14.693805813789368
188,5830.5674,5715.901,4.2103186,15.164780216217041
189,5174.498,5661.7603,4.1523194,15.009413084983827
190,5647.5347,5660.3374,4.4421644,16.21919728755951
191,5638.5415,5658.1577,4.5007844,14.654743180274963
192,5576.529,5649.9946,4.6754503,14.457745122909547
193,5698.4766,5654.843,4.7865715,14.846598591804504
194,5805.5615,5669.9146,4.839235,15.331911334991455
195,5616.5723,5664.58,4.770206,15.182259058952331
196,5998.5474,5697.9766,4.872255,14.55026472568512
197,5618.4277,5690.0215,4.8828454,14.845548267364501
198,5657.4536,5686.7646,4.561827,14.592640480995179
199,5609.4336,5679.0312,4.70583,14.312700595855713
200,5592.539,5670.382,4.668078,14.782088088989259
201,5617.4316,5665.087,4.665789,15.00483310699463
202,5857.5195,5684.33,4.545717,13.972630939483643
203,5964.621,5712.359,4.800272,14.665289654731751
204,6076.582,5748.7812,4.912571,15.137058482170104
205,5036.426,5677.5454,4.793731,15.163693253993989
206,5924.516,5702.242,4.9878516,14.27577392578125
207,5685.51,5700.569,4.9446282,14.955942430496215
208,5599.469,5690.4585,5.1140547,15.161879048347473
209,5562.4453,5677.657,5.3303704,14.56859382390976
210,5101.3125,5620.023,5.2188077,14.052491283416748
211,5620.511,5620.072,5.1929965,14.109862504005433
212,5652.554,5623.32,4.917947,14.728328137397765
213,5728.561,5633.8438,5.054723,15.113401865959167
214,5345.4927,5605.009,5.028296,15.05720055103302
215,5690.461,5613.5537,5.1079087,14.76580057144165
216,5129.466,5565.145,5.1990523,14.742376389503479
217,5920.5254,5600.683,5.1544123,14.209511666297912
218,6076.677,5648.282,5.264723,15.386427812576294
219,5672.5015,5650.704,4.972469,14.225351405143737
220,5606.533,5646.287,4.8913536,14.21203495502472
221,5423.401,5623.998,4.973697,13.461836123466492
222,5532.5063,5614.8486,4.852279,15.253064184188842
223,5620.451,5615.4087,4.8069363,14.417424755096436
224,5457.5034,5599.618,4.923662,14.841464076042175
225,5727.5117,5612.407,4.6030965,13.856083264350891
226,5807.501,5631.9165,5.0003853,13.996649460792542
227,5592.51,5627.9756,4.9444532,14.189598031044007
228,5976.58,5662.836,4.8771887,13.387802810668946
229,5873.534,5683.906,4.7973843,14.546478834152222
230,5815.5527,5697.0703,4.6053896,14.930665044784545
231,5595.466,5686.9097,4.6088486,13.194898595809937
232,5495.4937,5667.768,4.3435707,13.854611587524413
233,5256.4355,5626.635,4.3907323,15.035453195571899
234,5760.499,5640.021,4.429933,13.887839393615723
235,5560.522,5632.071,4.499372,13.772684869766236
236,5686.532,5637.517,4.903007,14.8453204870224
237,5500.446,5623.8096,5.05191,14.48935369491577
238,5493.5356,5610.782,4.7964706,14.239811763763427
239,5257.424,5575.4463,4.989077,14.78359363079071
240,5164.4004,5534.3413,4.9259634,13.510872602462769
241,5666.548,5547.562,4.7102575,13.514432353973389
242,5566.446,5549.45,4.5192966,14.325542740821838
243,5617.4795,5556.253,4.5329137,14.16046902179718
244,5250.46,5525.6733,4.53856,13.736191630363464
245,5730.562,5546.162,4.510326,14.29603845357895
246,5654.566,5557.0024,4.516126,14.698289701938629
247,6076.575,5608.96,4.5187125,13.005547480583191
248,5432.4497,5591.309,4.333086,14.055386686325074
249,4870.4355,5519.2217,4.1776567,14.45239737510681
250,5864.5356,5553.753,4.2877626,13.349780611991882
